cl hl sl el mrsc
laMboxara_1 laMboxara_1 - potbellied_11 _potbellied/VBN_u_unknown
laMbara_2 laMbara_2 - number_8 _number_n_of
laMbara_3 laMbara_3 - mark_43 _mark_n_of
laMbara_4 laMbara_4 - place_20 _place_n_of
laMbara_5 laMbara_5 - turn_33 _turn_n_of
laMbarI_1 laMbarI_1 - reg_374 _reg/JJ_u_unknown
laMbA_7 laMbA_7 - great_16 _great_n_1
laMbA_8 laMbA_8 - large_13 _large_n_1
laMbA_9 laMbA_9 - longlasting_2 _longlasting/NN_u_unknown
laMbA+kara_1 laMbA+kara_1 xrAG_4 lengthen_4 _lengthen_v_1
laMbA+kara_2 laMbA+kara_2 wan_21 extend_8 _extend_v_1
laMbA+laMbI+sAzsa+Bara_1 laMbA+laMbI+sAzsa+Bara_1 - regret_18 _regret_n_1
laMbA+laMbI+sAzsa+Bara_3 laMbA+laMbI+sAzsa+Bara_3 anuwap_8 repent_2 _repent/VB_u_unknown
laMbA+laMbe+pAzva+pasAra_1 laMbA+laMbe+pAzva+pasAra_1 mq_30 die_23 _die_v_1
laMbA-KiMcA_1 laMbA-KiMcA_1 - drawnout_1 _drawnout/JJ_u_unknown
laMbA-KiMcA_2 laMbA-KiMcA_2 - lengthy_1 _lengthy_a_1
laMbA-cOdZA_1 laMbA-cOdZA_1 - extensive_3 _extensive_a_1
laMbA-cOdZA_2 laMbA-cOdZA_2 - spacious_2 _spacious_a_1
laMbA-cOdZA_3 laMbA-cOdZA_3 - vast_11 _vast_a_1
laMbAI_3 laMbAI_3 - tallness_1 _tallness/NN_u_unknown
laMbAI-cOdZAI_1 laMbAI-cOdZAI_1 - extent_18 _extent_n_of
laMbAI-cOdZAI_2 laMbAI-cOdZAI_2 - size_10 _size_n_1
laMbAI-cOdZAI_3 laMbAI-cOdZAI_3 - fit_14 _fit_n_of
laMbA_10 laMbA_10 xrAG_5 lengthen_5 _lengthen_v_1
laMbA_11 laMbA_11 xIrGIkq_3 prolong_2 _prolong_v_1
laMbAva_1 laMbAva_1 - reg_375 _reg/NN_u_unknown
laMbiwa_5 laMbiwa_5 - suspended_3 _suspend_v_1
laMbI+laMbiyAz+kara_1 laMbI+laMbiyAz+kara_1 - prance_1 _prance/NN_u_unknown
laMbI+laMbiyAz+kara_3 laMbI+laMbiyAz+kara_3 - caper_4 _caper/NN_u_unknown
laMbU_2 laMbU_2 - tall_4 _tall_a_1
laMbowarA_2 laMbowarA_2 - elongated_3 _elongate_v_1
laMbowarA_4 laMbowarA_4 - oval_1 _oval_n_1
lakadZa_1 lakadZa_1 - stockade_1 _stockade_n_1
lakadZa_2 lakadZa_2 - barricade_3 _barricade_n_1
lakadZaPodZa_1 lakadZaPodZa_1 - woodpecker_1 _woodpecker/NN_u_unknown
lakadZabagXA_1 lakadZabagXA_1 - hyena_3 _hyena_n_1
lakadZahArA_1 lakadZahArA_1 - woodcutter_1 _woodcutter/NN_u_unknown
lakadZahArA_2 lakadZahArA_2 - woodseller_1 _woodseller/NN_u_unknown
lakadZA_1 lakadZA_1 - beam_11 _beam_n_of
lakadZA_2 lakadZA_2 - log_4 _log_n_of
lakadZI_1 lakadZI_1 - stick_10 _stick_n_1
lakadZI_2 lakadZI_2 - staff_6 _staff_n_of
lakadZI-sA_1 lakadZI-sA_1 - sticklike_2 _sticklike/JJ_u_unknown
lakadZI-sA_2 lakadZI-sA_2 - thin_9 _thin_a_1
lakZaxakZa_4 lakZaxakZa_4 - gleaming_4 _gleam_v_1
lakZaxakZa_3 lakZaxakZa_3 - stork_1 _stork/NN_u_unknown
lakZavA_3 lakZavA_3 - stroke_6 _stroke_n_1
lakIra_6 lakIra_6 - groove_4 _groove_n_1
lakIra_7 lakIra_7 - rut_2 _rut_n_1
lakIra_8 lakIra_8 - stripe_3 _stripe_n_1
lakIra_9 lakIra_9 - print_2 _print_n_1
lakIra+kA+PZakZIra_1 lakIra+kA+PZakZIra_1 - outlook_2 _outlook_n_1
lakuta_1 lakuta_1 - staff_7 _staff_n_of
lakuta_2 lakuta_2 - club_6 _club_n_1
lakkA_1 lakkA_1 - lump_18 _lump_n_1
lakkA_2 lakkA_2 - piece_28 _piece_n_of
lakRaNa_4 lakRaNa_4 lakRaNa_4 sign_17 _sign_n_of
lakRaNA_1 lakRaNA_1 - figurative_2 _figurative_a_1
lakRaNIya_1 lakRaNIya_1 - noteworthy_2 _noteworthy_a_1
lakRiwa_6 lakRiwa_6 - noted_3 _note_v_to
lakRiwa_8 lakRiwa_8 - designated_7 _designate_v_1
lakRmI_3 lakRmI_3 - wealth_17 _wealth_n_of
lakRmI_4 lakRmI_4 - beauty_18 _beauty_n_1
lakRya_6 lakRya_6 lakRya_1 observable_1 _observable_a_1
lakRya_7 lakRya_7 - noteworthy_3 _noteworthy_a_1
lakRya_8 lakRya_8 - purpose_10 _purpose_n_1
lakRya+kare_1 lakRya+kare_1 aBisanXA_8 aim_6 _aim_v_1
lakRya+kare_2 lakRya+kare_2 - allude_1 _allude/NN_u_unknown
lakRya+lagA_1 lakRya+lagA_1 aBisanXA_9 aim_7 _aim_v_1
lakRyahIna_1 lakRyahIna_1 - aimless_3 _aimless_a_1
nOlaKa_1 nOlaKa_1 - costing_1 _cost_v_1
laKa_1 laKa_1 xraS_17 see_139 _see_v_1
laKa_2 laKa_2 avagam_8 understand_6 _understand_v_by
laKanA_1 laKanA_1 - poet_4 _poet_n_1
laKA_1 laKA_1 xqS_91 show_18 _show_v_1
laKAI_1 laKAI_1 - seeing_17 _see_v_1
laKAI+para_1 laKAI+para_1 xqS_92 appear_24 _appear_v_1
laKAu_1 laKAu_1 - token_5 _token_n_1
laKiyA_1 laKiyA_1 - onlooker_3 _onlooker_n_1
laga_23 laga_23 - while_1 _while_n_1
lagaBaga_6 lagaBaga_6 - adv_5 _adverb_n_1
lagadZabagGA_1 lagadZabagGA_1 - hyena_4 _hyena_n_1
lagadZA_1 lagadZA_1 - hyena_5 _hyena_n_1
lagawI_1 lagawI_1 - affection_7 _affection_n_1
lagawI_2 lagawI_2 - love_18 _love_n_of-for
lagana_5 lagana_5 - affection_8 _affection_n_1
lagana_6 lagana_6 - desire_37 _desire_n_for
lagana_7 lagana_7 - longing_11 _longing_n_1
laga_3 laga_3 upasWA_12 occur_9 _occur_v_to
laga_4 laga_4 AraB_15 begin_10 _begin_v_1
laga_5 laga_5 gam_24 touch_6 _touch_v_1
laga_6 laga_6 - wear_13 _wear_n_1
laga_8 laga_8 GqR_14 rub_13 _rub_v_1
laga_9 laga_9 Agam_22 arrive_5 _arrive_v_1
laga_10 laga_10 anulagnIkq_11 stick_11 _stick_v_1
laga_11 laga_11 saMj_3 adhere_2 _adhere_v_1
laga_12 laga_12 svaraBafgena_7 falter_2 _falter_v_1
laga_13 laga_13 mil_14 close_24 _close_v_1
laga_14 laga_14 safkuc_7 contract_3 _contract_v_2
laga_15 laga_15 - affect_3 _affect_n_1
laga_17 laga_17 Akram_24 attack_27 _attack_v_1
laganA_1 laganA_1 - water_34 _water_n_1
laga_18 laga_18 gal_3 rot_2 _rot_v_1
laganA_2 laganA_2 - fault_11 _fault_n_1
laganA_3 laganA_3 - emotion_5 _emotion_n_1
laganA_4 laganA_4 - heat_35 _heat_n_1
laganA_5 laganA_5 - cold_11 _cold_n_1
laga_19 laga_19 lag_45 strike_38 _strike_v_1
laga_20 laga_20 sambanX_3 pertain_1 _pertain/VB_u_unknown
laganA+lagA-lagI_1 laganA+lagA-lagI_1 - attachment_8 _attachment_n_of
laganA+lagA-lagI_2 laganA+lagA-lagI_2 - intimacy_2 _intimacy_n_1
laganA+lagA-lagI_3 laganA+lagA-lagI_3 - rivalry_12 _rivalry/NN_u_unknown
lagalaga_3 lagalaga_3 - whitenecked_1 _whitenecked/NN_u_unknown
lagavAnA_1 lagavAnA_1 - put_11 _put_n_1
lagAI_1 lagAI_1 - attaching_3 _attach_v_1
lagAI_3 lagAI_3 - applying_5 _apply_v_1
lagAI_5 lagAI_5 - application_10 _application_n_of
lagAna_3 lagAna_3 - assessment_4 _assessment_n_1
lagAna_4 lagAna_4 - mooringplace_2 _mooringplace/NN_u_unknown
lagAna_5 lagAna_5 - landingplace_2 _landingplace/NN_u_unknown
lagAna_6 lagAna_6 - stoppingplace_4 _stoppingplace/NN_u_unknown
lagAna_7 lagAna_7 - halt_10 _halt_n_1
lagAna_8 lagAna_8 - tracking_5 _track_v_1
lagAna_10 lagAna_10 - tracing_5 _trace_v_1
lagAna_12 lagAna_12 - search_9 _search_n_of
lagA_8 lagA_8 banX_12 fasten_6 _fasten_v_1
lagA_9 lagA_9 aBiRic_4 install_3 _install_v_1
lagA_10 lagA_10 mil_15 close_25 _close_v_1
lagAnA_1 lagAnA_1 - lid_5 _lid_n_1
lagA_11 lagA_11 ciwr_11 paint_10 _paint_v_1
lagA_12 lagA_12 - wear_15 _wear_n_1
lagA_14 lagA_14 uxBix_18 cut_20 _cut_v_1
lagA_15 lagA_15 wvacam_12 scratch_14 _scratch_v_1
lagA_16 lagA_16 ruh_19 plant_8 _plant_v_1
lagA_17 lagA_17 kq_50 form_30 _form_v_1
lagA_18 lagA_18 nirmmA_7 build_7 _build_v_1
lagAnA_2 lagAnA_2 - pile_21 _pile_n_of
lagA_19 lagA_19 as_74 establish_15 _establish_v_1
lagA_20 lagA_20 samAXA_14 adjust_12 _adjust_v_to
lagA_21 lagA_21 sanXA_30 mend_5 _mend_v_1
lagA_22 lagA_22 wij_15 sharpen_13 _sharpen_v_1
lagA_23 lagA_23 saMyuj_35 apply_11 _apply_v_1
lagA_24 lagA_24 veRt_8 invest_1 _invest_v_1
lagA_25 lagA_25 Avix_4 report_14 _report_v_to
lagAnA_3 lagAnA_3 - difficulty_25 _difficulty_n_1
lagA_26 lagA_26 rakR_48 save_9 _save_v_1
lagA_27 lagA_27 samAci_2 hoard_3 _hoard_v_1
lagA_28 lagA_28 ArAX_5 conciliate_3 _conciliate/VB_u_unknown
lagAma_4 lagAma_4 - bit_9 _bit_n_of
lagAma+caDZA_1 lagAma+caDZA_1 yam_20 check_24 _check_v_1
lagAma+caDZA_2 lagAma+caDZA_2 - control_25 _control_n_of
lagAva_5 lagAva_5 - contact_3 _contact_n_1
lagAva_6 lagAva_6 - fellowfeeling_1 _fellowfeeling/NN_u_unknown
lagAvata_1 lagAvata_1 - attachment_9 _attachment_n_of
lagI_2 lagI_2 - desire_38 _desire_n_for
lagI_3 lagI_3 - craving_3 _craving_n_for
lagI_4 lagI_4 - affection_9 _affection_n_1
lagI_5 lagI_5 - love_19 _love_n_of-for
lagI+buJanA_1 lagI+buJanA_1 - desire_39 _desire_n_for
lagI-lipatI_1 lagI-lipatI_1 - partiality_3 _partiality/NN_u_unknown
lagI-lipatI_2 lagI-lipatI_2 - bias_4 _bias_n_1
lagudZa_1 lagudZa_1 laguda_1 stick_12 _stick_n_1
lagudZa_2 lagudZa_2 laguda_2 staff_8 _staff_n_of
lagudZa_3 lagudZa_3 laguda_3 club_7 _club_n_1
lagOMha_1 lagOMha_1 - pleasing_14 _please_v_1
laggA_3 laggA_3 - catch_11 _catch_n_1
laggA_4 laggA_4 - hold_9 _hold_n_of
laggA_5 laggA_5 - beginning_14 _beginning_n_1
laggA_6 laggA_6 - arrangement_13 _arrangement_n_1
laggA_7 laggA_7 - plan_16 _plan_n_1
laggA_8 laggA_8 - attachment_10 _attachment_n_of
laggA_9 laggA_9 - affection_10 _affection_n_1
laggA_10 laggA_10 - similarity_8 _similarity_n_to
laggA_11 laggA_11 - resemblance_6 _resemblance_n_1
laggA_12 laggA_12 - competition_7 _competition_n_1
laggA_13 laggA_13 - rivalry_13 _rivalry/NN_u_unknown
laggA-saggA_1 laggA-saggA_1 - intimacy_3 _intimacy_n_1
laggA-saggA_2 laggA-saggA_2 - attachment_11 _attachment_n_of
laggI_1 laggI_1 - pole_10 _pole_n_1
laggI_2 laggI_2 - fishingrod_1 _fishingrod/NN_u_unknown
lagna_2 lagna_2 lagna_1 marriage_3 _marriage_n_1
lagna-kuMdalI_1 lagna-kuMdalI_1 - horoscope_3 _horoscope_n_1
laGu_8 laGu_8 laGu_4 nimble_1 _nimble_a_1
laGu_9 laGu_9 laGu_13 active_16 _active_a_1
laGu_12 laGu_12 laGu_7 slight_4 _slight_a_1
laGu_13 laGu_13 - miniature_1 _miniature_a_1
laGu_14 laGu_14 laGu_8 minor_3 _minor_a_1
laGu_15 laGu_15 - weak_27 _weak_a_1
laGu_16 laGu_16 - sound_28 _sound_a_1
laGu_19 laGu_19 - junior_3 _junior_a_1
laGu_20 laGu_20 laGu_5 trivial_5 _trivial_a_1
laGu_21 laGu_21 laGu_9 insignificant_6 _insignificant_a_1
laGu_22 laGu_22 - unworthy_3 _unworthy_a_of
laGu-upanyAsa_1 laGu-upanyAsa_1 - novella_1 _novella/NN_u_unknown
laGu-SaMkA_1 laGu-SaMkA_1 - urination_1 _urination/NN_u_unknown
laGuwA_5 laGuwA_5 laGuwA_1 lightness_1 _lightness_n_1
laGuwA_6 laGuwA_6 laGuwA_4 slightness_1 _slightness/NN_u_unknown
laGuwA_7 laGuwA_7 - inferiority_4 _inferiority_n_1
lacaka_6 lacaka_6 - bending_6 _bend_v_1
lacaka_8 lacaka_8 - twisting_18 _twist_v_1
lacaka_10 lacaka_10 - suppleness_1 _suppleness_n_1
lacaka_11 lacaka_11 - mildness_3 _mildness_n_1
lacakaxAra_2 lacakaxAra_2 - flexible_1 _flexible_a_1
lacakaxAra_3 lacakaxAra_3 - yielding_5 _yield_v_1
lacaka_12 lacaka_12 vaSIBU_8 yield_5 _yield_v_1
lacaka_13 lacaka_13 saxa_10 give_5 _give_v_yield
lacaka_14 lacaka_14 - sag_3 _sag_v_1
lacakanA_1 lacakanA_1 - elastic_2 _elastic_n_1
lacakA_2 lacakA_2 - strain_18 _strain_n_1
lacakA_3 lacakA_3 - sprain_2 _sprain_n_1
lacakA_4 lacakA_4 - strain_19 _strain_n_1
lacanA_1 lacanA_1 - springy_1 _springy/JJ_u_unknown
lacanA+lacaxAra_1 lacanA+lacaxAra_1 - springy_2 _springy/JJ_u_unknown
lacara_6 lacara_6 - yielding_7 _yield_v_1
lacara_8 lacara_8 - compliant_1 _compliant/NN_u_unknown
lacara_9 lacara_9 - poor_14 _poor_n_1
lacalacA_1 lacalacA_1 - bending_8 _bend_v_1
lacalacA_2 lacalacA_2 - elastic_3 _elastic_n_1
lacAva_1 lacAva_1 - flexibility_1 _flexibility_n_1
lacAva_2 lacAva_2 - elasticity_1 _elasticity_n_1
lacCA_2 lacCA_2 - bundle_15 _bundle_n_1
lacCA_3 lacCA_3 - skein_8 _skein_n_1
lacCA_4 lacCA_4 pralamba_3 tassel_1 _tassel/NN_u_unknown
lacCA_5 lacCA_5 - shred_7 _shred_n_1
lacCA_6 lacCA_6 - slice_3 _slice_n_1
lacCA_7 lacCA_7 - strip_4 _strip_n_of
lacCI_2 lacCI_2 - bundle_16 _bundle_n_1
lacCI_3 lacCI_3 - skein_9 _skein_n_1
lacCI_4 lacCI_4 - bunch_9 _bunch_n_of
lajAU_1 lajAU_1 - shaming_1 _shame_v_1
lajA_2 lajA_2 - shame_13 _shame_n_1
lajZIjZa_1 lajZIjZa_1 - delicious_1 _delicious_a_1
lajZjZawa_1 lajZjZawa_1 - pleasure_15 _pleasure_n_of
lajZjZawa_2 lajZjZawa_2 - delight_26 _delight_n_1
lajjAjanaka_1 lajjAjanaka_1 - shameful_4 _shameful_a_1
lajjAjanaka_2 lajjAjanaka_2 - attitude_7 _attitude_n_1
lajjAvaMwa_1 lajjAvaMwa_1 - modest_2 _modest_a_1
lajjASIla_2 lajjASIla_2 lajjASIla_1 modest_3 _modest_a_1
lajjASIla_3 lajjASIla_3 - shy_6 _shy_a_of
lajjAhIna_1 lajjAhIna_1 lajjAhIna_1 shameless_12 _shameless/JJ_u_unknown
lajjAlu_1 lajjAlu_1 - modest_4 _modest_a_1
lajjAlu_2 lajjAlu_2 - bashful_2 _bashful_a_1
lajjAlu_3 lajjAlu_3 - shy_7 _shy_a_of
lajjAlu_4 lajjAlu_4 - ashamed_2 _ashamed_a_of
lajjiwa_2 lajjiwa_2 - modest_5 _modest_a_1
lajjiwa+kara_2 lajjiwa+kara_2 - shame_15 _shame_n_1
lata_3 lata_3 - locks_2 _lock_n_1
lata_4 lata_4 - hair_6 _hair_n_1
latapata_1 latapata_1 - tangled_5 _tangle_v_1
latapatA_7 latapatA_7 - tangled_7 _tangle_v_1
latapatA_9 latapatA_9 - thick_12 _thick_a_1
latapatA_10 latapatA_10 - stammering_6 _stammering/NN_u_unknown
lataka_5 lataka_5 - hanging_5 _hanging_n_1
lataka_6 lataka_6 - dangling_1 _dangle_v_1
lataka_8 lataka_8 - air_12 _air_n_1
lataka_9 lataka_9 - style_18 _style_n_of
lataka_10 lataka_10 - speaking_12 _speak_v_to
latakana_2 latakana_2 - hanging_6 _hanging_n_1
latakana_3 latakana_3 - swinging_16 _swing_v_1
latakana_5 latakana_5 - bellclapper_1 _bellclapper/NN_u_unknown
latakana_6 latakana_6 - lorikeet_1 _lorikeet/NN_u_unknown
lataka_12 lataka_12 luT_17 dangle_1 _dangle_v_1
lataka_13 lataka_13 saFcal_7 swing_11 _swing_v_1
lataka_14 lataka_14 nam_49 lean_4 _lean_v_towards
lataka_15 lataka_15 vilamb_19 delay_21 _delay_v_1
lataka_16 lataka_16 vilamb_20 linger_2 _linger_v_1
latakAva_1 latakAva_1 - hanging_7 _hanging_n_1
latanA+latApatA_1 latanA+latApatA_1 - things_3 _thing_n_of-about
latanA+latApatA_2 latanA+latApatA_2 - goods_8 _goods_n_1
latapatA_14 latapatA_14 pracal_7 rock_8 _rock_v_1
latapatA_15 latapatA_15 kRuB_32 shake_26 _shake_v_1
latapatA_16 latapatA_16 sKal_15 trip_3 _trip_v_1
latapatA_17 latapatA_17 - stammer_3 _stammer/NN_u_unknown
latapatA_19 latapatA_19 vikLp_12 hesitate_8 _hesitate_v_1
latapatiyA_2 latapatiyA_2 - doubledealing_2 _doubledealing/NN_u_unknown
latapatiyA_3 latapatiyA_3 - mischiefmaking_2 _mischiefmaking/NN_u_unknown
latI_1 latI_1 - prostitute_13 _prostitute_n_1
lattU_5 lattU_5 - doorknob_1 _doorknob_n_1
latTa_5 latTa_5 - club_8 _club_n_1
latTa_6 latTa_6 - trunk_7 _trunk_n_1
latTa-gazvAra_1 latTa-gazvAra_1 - yokel_1 _yokel_n_1
latTamAra_1 latTamAra_1 - crude_10 _crude_a_1
latTamAra_2 latTamAra_2 - violent_9 _violent_a_1
latTama-latTA_1 latTama-latTA_1 - cudgelplay_1 _cudgelplay/NN_u_unknown
latTara_1 latTara_1 - lazy_11 _lazy_n_1
latTA_4 latTA_4 - beam_12 _beam_n_of
latTA_5 latTA_5 - rafter_2 _rafter_n_1
latTA_6 latTA_6 - pole_11 _pole_n_1
latTA_7 latTA_7 - marker_2 _marker_n_1
latTA_8 latTA_8 - sleeper_1 _sleeper_n_1
latTA_9 latTA_9 - tie_12 _tie_n_1
ladZMwa_1 ladZMwa_1 - fighting_9 _fight_v_1
ladZMwa_3 ladZMwa_3 - wrestling_7 _wrestle_v_1
ladZMwiyA_1 ladZMwiyA_1 - wrestler_5 _wrestler/NN_u_unknown
ladZa_18 ladZa_18 - strand_2 _strand_n_of
ladZa_4 ladZa_4 - line_24 _line_n_of
ladZa_20 ladZa_20 - series_7 _series_n_of
ladZa_6 ladZa_6 - chain_4 _chain_n_of
ladZaka-buxXi_1 ladZaka-buxXi_1 - childishness_2 _childishness/NN_u_unknown
ladZakA_2 ladZakA_2 - child_15 _child_n_1
ladZakA_3 ladZakA_3 - son_9 _son_n_of
ladZakA+ladZake-ladZakiyAz_1 ladZakA+ladZake-ladZakiyAz_1 - children_4 _child_n_1
ladZaKadZA_2 ladZaKadZA_2 sKal_16 totter_4 _totter_v_1
ladZaKadZA_3 ladZaKadZA_3 - wobble_1 _wobble_v_1
ladZaKadZA_4 ladZaKadZA_4 sKal_17 stumble_1 _stumble_v_1
ladZaKadZA_5 ladZaKadZA_5 nam_50 sway_18 _sway_v_1
ladZaKadZA_14 ladZaKadZA_14 luT_18 roll_18 _roll_v_1
ladZaKadZA_15 ladZaKadZA_15 - stutter_1 _stutter/NN_u_unknown
ladZaKadZA_9 ladZaKadZA_9 - stammer_5 _stammer/NN_u_unknown
ladZaKadZA_11 ladZaKadZA_11 kRuB_33 shake_27 _shake_v_1
ladZaKadZI_1 ladZaKadZI_1 - reg_376 _reg/NN_u_unknown
ladZa_7 ladZa_7 kalaha_11 quarrel_27 _quarrel_v_about
ladZa_8 ladZa_8 viceRt_5 struggle_6 _struggle_v_1
ladZa_23 ladZa_23 - collide_5 _collide/NN_u_unknown
ladZa_11 ladZa_11 GqR_15 rub_14 _rub_v_1
ladZabadZA_1 ladZabadZA_1 - sticky_2 _sticky_a_1
ladZabadZA_2 ladZabadZA_2 - viscous_1 _viscous/JJ_u_unknown
ladZabadZA_3 ladZabadZA_3 - flabby_6 _flabby/JJ_u_unknown
ladZabadZA_4 ladZabadZA_4 - limp_4 _limp_a_1
ladZabadZA_5 ladZabadZA_5 - tottering_3 _totter_v_1
ladZabadZA_6 ladZabadZA_6 - shaky_1 _shaky_a_1
ladZabadZA_7 ladZabadZA_7 - stammering_8 _stammering/NN_u_unknown
ladZabadZA_9 ladZabadZA_9 sKal_18 totter_5 _totter_v_1
ladZabadZA_10 ladZabadZA_10 saMj_4 adhere_3 _adhere_v_1
ladZa-bAvara_1 ladZa-bAvara_1 - youthful_2 _youthful/JJ_u_unknown
ladZa-bAvara_2 ladZa-bAvara_2 - inexperienced_4 _inexperienced_n_1
-ladZA_1 -ladZA_1 - strands_1 _strand_n_of
ladZAI_11 ladZAI_11 - fighting_7 _fight_v_1
ladZAI_3 ladZAI_3 - quarrelling_10 _quarrelling/NN_u_unknown
ladZAI_5 ladZAI_5 - disturbance_7 _disturbance_n_1
ladZAI_7 ladZAI_7 - war_4 _war_n_1
ladZAI_10 ladZAI_10 - hostility_10 _hostility_n_1
ladZAI+kara_1 ladZAI+kara_1 yuX_13 fight_11 _fight_v_1
ladZAI+kA_1 ladZAI+kA_1 - warlike_1 _warlike_a_1
ladZAI+kA_2 ladZAI+kA_2 - martial_3 _martial_a_1
ladZAI+kA+Gara_1 ladZAI+kA+Gara_1 - firebrand_2 _firebrand/NN_u_unknown
ladZAI+kA+Gara_2 ladZAI+kA+Gara_2 - arsonist_1 _arsonist/NN_u_unknown
ladZAI+ladZa_1 ladZAI+ladZa_1 yuX_14 fight_12 _fight_v_1
ladZAIbaMxI_1 ladZAIbaMxI_1 - truce_1 _truce/NN_u_unknown
ladZAIbaMxI_2 ladZAIbaMxI_2 - armistice_1 _armistice/NN_u_unknown
ladZAkA_2 ladZAkA_2 - warrior_5 _warrior_n_1
ladZAkA_3 ladZAkA_3 - fighter_1 _fighter_n_1
ladZAkA_11 ladZAkA_11 - brawler_2 _brawler/NN_u_unknown
ladZAkU_4 ladZAkU_4 - military_2 _military_n_1
ladZAkU+havAI+jahAjZa_1 ladZAkU+havAI+jahAjZa_1 - fighter_2 _fighter_n_1
ladZAnA_1 ladZAnA_1 - animals_4 _animal_n_1
ladZAmanI_1 ladZAmanI_1 - pastureground_3 _pastureground/NN_u_unknown
ladZI_6 ladZI_6 - row_15 _row_n_of
ladZI_3 ladZI_3 - line_25 _line_n_of
ladZI_4 ladZI_4 - series_8 _series_n_of
ladZI_5 ladZI_5 - chain_5 _chain_n_of
ladZEwa_1 ladZEwa_1 - fighter_3 _fighter_n_1
ladZEwa_2 ladZEwa_2 - warrior_6 _warrior_n_1
ladZOrI_1 ladZOrI_1 - reg_377 _reg/NN_u_unknown
laddU_2 laddU_2 - gain_7 _gain_n_1
laddU+KilA_1 laddU+KilA_1 uwwamAnnE_1 feast_3 _feast_v_on
laDZI_1 laDZI_1 - reg_378 _reg/NN_u_unknown
lawa_2 lawa_2 - vice_15 _vice_n_1
lawa_1 lawa_1 - kicked_3 _kick_v_1
lawa_3 lawa_3 - mat_1 _mat_n_1
lawaKZora_1 lawaKZora_1 - kicked_5 _kick_v_1
lawaKZora_3 lawaKZora_3 - mat_2 _mat_n_1
lawa-marxana_1 lawa-marxana_1 - trampling_9 _trample_v_1
lawa-marxana_3 lawa-marxana_3 - kicking_3 _kick_v_1
lawa-marxanakara_1 lawa-marxanakara_1 wad_19 kick_10 _kick_v_1
lawara_2 lawara_2 - reg_379 _reg/NN_u_unknown
lawA_3 lawA_3 - tendril_3 _tendril_n_1
lawA-Bavana_1 lawA-Bavana_1 - bower_2 _bower_n_1
lawA-Bavana_2 lawA-Bavana_2 - arbour_3 _arbour/NN_u_unknown
lawAdZa_9 lawAdZa_9 - spurning_1 _spurn_v_1
lawAdZa_3 lawAdZa_3 - reviling_1 _reviling/NN_u_unknown
lawAdZa_4 lawAdZa_4 - insulting_1 _insult_v_1
lawAdZa_11 lawAdZa_11 - revile_7 _revile/NN_u_unknown
lawAPZawa_7 lawAPZawa_7 - slenderness_3 _slenderness/NN_u_unknown
lawAPZawa_2 lawAPZawa_2 - delicateness_1 _delicateness_n_1
lawAPZawa_9 lawAPZawa_9 - elegance_14 _elegance_n_1
lawAPZawa_4 lawAPZawa_4 - grace_13 _grace_n_1
lawAPZawa_5 lawAPZawa_5 - beauty_19 _beauty_n_1
lawAPZawa_6 lawAPZawa_6 - wit_6 _wit_n_1
lawI_1 lawI_1 - vicious_7 _vicious_a_1
lawIPZa_1 lawIPZa_1 - savoury_2 _savoury/NN_u_unknown
lawIPZa_6 lawIPZa_6 - kind_21 _kind_n_of-n
lawIPZA_1 lawIPZA_1 - amusing_11 _amusing_a_1
lawIPZA+lawIPZebAjZa_1 lawIPZA+lawIPZebAjZa_1 - amusing_12 _amusing_a_1
lawwama-juwwA_1 lawwama-juwwA_1 - brawl_16 _brawl/NN_u_unknown
lawwI_1 lawwI_1 - kicking_5 _kick_v_1
lawwI_3 lawwI_3 - kick_11 _kick_n_1
lawwI+mAranA_1 lawwI+mAranA_1 wad_20 kick_12 _kick_v_1
lawwI_4 lawwI_4 - rag_5 _rag_n_1
laWadZanA_1 laWadZanA_1 - reg_380 _reg/NN_u_unknown
laWedZa_1 laWedZa_1 - soil_6 _soil_n_1
laWedZa_3 laWedZa_3 Ric_4 soak_3 _soak_v_1
laxa_1 laxa_1 - jail_2 _jail_n_1
laxanA_1 laxanA_1 - time_19 _time_n_of
laxa_3 laxa_3 mq_31 die_24 _die_v_1
laxanA+laxA-PazxA_1 laxanA+laxA-PazxA_1 - loaded_1 _load_v_cause
laxanA+laxA-PazxA_3 laxanA+laxA-PazxA_3 - laden_1 _laden_a_with
laxaniyA_1 laxaniyA_1 - carrier_2 _carrier_n_of
laxanI_1 laxanI_1 - load_28 _load_n_of
laxanI_2 laxanI_2 - burden_5 _burden_n_1
laxAI_1 laxAI_1 - load_29 _load_n_of
laxAI_2 laxAI_2 - freight_5 _freight_n_1
laxAU_1 laxAU_1 - reg_381 _reg/JJ_u_unknown
laxAva_5 laxAva_5 - burden_6 _burden_n_1
laxAva_6 laxAva_6 - vaulting_1 _vault_v_1
laxxU_1 laxxU_1 - loadcarrying_1 _loadcarrying/NN_u_unknown
laxxU_2 laxxU_2 - freightcarrying_2 _freightcarrying/NN_u_unknown
laxxU_3 laxxU_3 - vessel_5 _vessel_n_1
laxXara_1 laxXara_1 - lethargic_1 _lethargic/NN_u_unknown
lapa_3 lapa_3 - handful_15 _handful_n_of
lapa+Bara_1 lapa+Bara_1 - handful_16 _handful_n_of
lapa_4 lapa_4 - movement_10 _movement_n_of
lapa_5 lapa_5 - flexibility_2 _flexibility_n_1
lapa_6 lapa_6 - flashing_5 _flash_v_1
